**** BEGIN LOGGING AT Wed Apr 18 22:05:42 2018

Apr 18 22:05:42 *	Now talking on #shade
**** ENDING LOGGING AT Wed Apr 18 22:07:31 2018

**** BEGIN LOGGING AT Wed Apr 18 22:07:31 2018

Apr 18 22:07:31 <r4ve_>	bettt
Apr 18 22:07:32 <sarjo_14>	good morning bois
Apr 18 22:07:33 <zeekaptain>	gambling is illegal
Apr 18 22:07:35 <phace_>	!roulette all
Apr 18 22:07:38 <unvalidusername>	holy shit supah
Apr 18 22:07:39 <sarjo_14>	hi shade HeyGuys
**** ENDING LOGGING AT Wed Apr 18 22:07:40 2018

**** BEGIN LOGGING AT Wed Apr 18 22:07:40 2018

Apr 18 22:07:44 <r4ve_>	!points
Apr 18 22:07:44 <streamelements>	@R4ve_, R4ve_ has 8578 points and is rank 13/14627 on the leaderboard.
Apr 18 22:07:48 <phace_>	!points
Apr 18 22:07:49 <streamelements>	@phace_, phace_ has 14 points and is rank 8061/14627 on the leaderboard.
Apr 18 22:07:56 <phace_>	!roulette 4
Apr 18 22:07:58 <bhsr>	@zeekaptain roulette all or no balls
Apr 18 22:07:58 *	ibeenhadfrags (ibeenhadfrags@ibeenhadfrags.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	memhic (memhic@memhic.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	recurse_ (recurse_@recurse_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	streamelements (streamelements@streamelements.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	floop_tf (floop_tf@floop_tf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dilbert634 (dilbert634@dilbert634.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	rktking (rktking@rktking.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	master_turtle1 (master_turtle1@master_turtle1.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	k7kuso (k7kuso@k7kuso.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kedof100 (kedof100@kedof100.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	discordtf (discordtf@discordtf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jiyuunii (jiyuunii@jiyuunii.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	unvalidusername (unvalidusername@unvalidusername.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	larrydysentery (larrydysentery@larrydysentery.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	lastysrevenge (lastysrevenge@lastysrevenge.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	flying_cows_m8 (flying_cows_m8@flying_cows_m8.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	trillogy11 (trillogy11@trillogy11.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	the_littlest_cabbage (the_littlest_cabbage@the_littlest_cabbage.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dno_tf2 (dno_tf2@dno_tf2.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	furocatty (furocatty@furocatty.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	5econd5ight (5econd5ight@5econd5ight.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	voxtec (voxtec@voxtec.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	tala0x0 (tala0x0@tala0x0.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	zirtonic (zirtonic@zirtonic.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	rivka1 (rivka1@rivka1.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	iamalovelypenguin (iamalovelypenguin@iamalovelypenguin.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	tallbunks24 (tallbunks24@tallbunks24.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	finestep (finestep@finestep.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dailydoseofmelon (dailydoseofmelon@dailydoseofmelon.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	hunterdelta2 (hunterdelta2@hunterdelta2.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	smt923 (smt923@smt923.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	yoitszano (yoitszano@yoitszano.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	roszlite (roszlite@roszlite.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jayb1rdd (jayb1rdd@jayb1rdd.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ezwhip12 (ezwhip12@ezwhip12.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	khilcubed (khilcubed@khilcubed.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	nissen9 (nissen9@nissen9.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	miro__ (miro__@miro__.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	pantherrr_ (pantherrr_@pantherrr_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	shamisen__ (shamisen__@shamisen__.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ed_edd_eddytf (ed_edd_eddytf@ed_edd_eddytf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	phace_ (phace_@phace_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	aldo_haa (aldo_haa@aldo_haa.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dubitable (dubitable@dubitable.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	aquabatic (aquabatic@aquabatic.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	zaxlaxn (zaxlaxn@zaxlaxn.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	sprite_tough (sprite_tough@sprite_tough.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	tozs_ (tozs_@tozs_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	polio_ (polio_@polio_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	simkha (simkha@simkha.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mellotf2_ (mellotf2_@mellotf2_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bagelsammich (bagelsammich@bagelsammich.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ssapdrow (ssapdrow@ssapdrow.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	xrodiment (xrodiment@xrodiment.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	romssssssss (romssssssss@romssssssss.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	robot_gloryhole (robot_gloryhole@robot_gloryhole.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mrb0sss (mrb0sss@mrb0sss.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	cool_dog4567 (cool_dog4567@cool_dog4567.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	robbblackfyre (robbblackfyre@robbblackfyre.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	maemaeee (maemaeee@maemaeee.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	spinningsam19 (spinningsam19@spinningsam19.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	hachioji (hachioji@hachioji.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ghirkhat (ghirkhat@ghirkhat.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	nokk (nokk@nokk.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	0x0ace (0x0ace@0x0ace.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	schrodingerrr_ (schrodingerrr_@schrodingerrr_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	haha_sick (haha_sick@haha_sick.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dellaaa (dellaaa@dellaaa.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	buttershutter (buttershutter@buttershutter.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kos__ (kos__@kos__.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	archtf (archtf@archtf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bunnespin (bunnespin@bunnespin.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mankey__ (mankey__@mankey__.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bhsr (bhsr@bhsr.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	the_other_quach (the_other_quach@the_other_quach.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	scrambuls (scrambuls@scrambuls.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	darkxk (darkxk@darkxk.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	alphy_ (alphy_@alphy_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	essomtial (essomtial@essomtial.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	subtleperson (subtleperson@subtleperson.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	meltedicecream (meltedicecream@meltedicecream.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	shade (shade@shade.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	roeeyamini (roeeyamini@roeeyamini.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	sliferr (sliferr@sliferr.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	audaxthebold (audaxthebold@audaxthebold.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	corunson (corunson@corunson.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	roberta94 (roberta94@roberta94.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	an0n0434 (an0n0434@an0n0434.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kev777_ (kev777_@kev777_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	qjkxkcd (qjkxkcd@qjkxkcd.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	chriswalkertalker (chriswalkertalker@chriswalkertalker.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	3kho (3kho@3kho.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	deer_001 (deer_001@deer_001.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	blockheaddd (blockheaddd@blockheaddd.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	4notso (4notso@4notso.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	finski_ (finski_@finski_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	looney_wade (looney_wade@looney_wade.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	frisky_bitz (frisky_bitz@frisky_bitz.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dustybunny250 (dustybunny250@dustybunny250.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	majuler (majuler@majuler.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	pl4celine (pl4celine@pl4celine.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	xxassmasterxx (xxassmasterxx@xxassmasterxx.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	srslys (srslys@srslys.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	pannlord (pannlord@pannlord.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	r4ve_ (r4ve_@r4ve_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	br0king (br0king@br0king.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	duckaroo_duck (duckaroo_duck@duckaroo_duck.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	minty001 (minty001@minty001.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	godmodetf (godmodetf@godmodetf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	sabretf2 (sabretf2@sabretf2.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	xraii (xraii@xraii.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	grimmbo_ (grimmbo_@grimmbo_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	itchycricri (itchycricri@itchycricri.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	checkyoself22 (checkyoself22@checkyoself22.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dispellado (dispellado@dispellado.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	apt____ (apt____@apt____.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	swookydookie (swookydookie@swookydookie.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bork_oof (bork_oof@bork_oof.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	stalebrea (stalebrea@stalebrea.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	minicirclex (minicirclex@minicirclex.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mpgh (mpgh@mpgh.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	cardister (cardister@cardister.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	manacute (manacute@manacute.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ascarydude (ascarydude@ascarydude.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bullettango (bullettango@bullettango.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mau2099 (mau2099@mau2099.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	zeekaptain (zeekaptain@zeekaptain.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ps3ia (ps3ia@ps3ia.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kordipl (kordipl@kordipl.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	quackdelicious (quackdelicious@quackdelicious.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jamesearljones2 (jamesearljones2@jamesearljones2.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	alightshiningindarkn3ss (alightshiningindarkn3ss@alightshiningindarkn3ss.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	infoschwarz (infoschwarz@infoschwarz.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	nottandy (nottandy@nottandy.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	steinerw (steinerw@steinerw.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	nyah_ (nyah_@nyah_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bioshockfish (bioshockfish@bioshockfish.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	cos__coa (cos__coa@cos__coa.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ascendary_ (ascendary_@ascendary_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jackx232 (jackx232@jackx232.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	segno_ (segno_@segno_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bon_ (bon_@bon_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	breezykit (breezykit@breezykit.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	electricalskateboard (electricalskateboard@electricalskateboard.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	killakamo (killakamo@killakamo.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	thenovalisk (thenovalisk@thenovalisk.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dolphinsarephotogenic (dolphinsarephotogenic@dolphinsarephotogenic.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mitten234 (mitten234@mitten234.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	devkite (devkite@devkite.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	cukei (cukei@cukei.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kabajii (kabajii@kabajii.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	yomammais6789 (yomammais6789@yomammais6789.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	emilylarae41 (emilylarae41@emilylarae41.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	ryybka (ryybka@ryybka.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	newleague (newleague@newleague.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	monsta_ (monsta_@monsta_.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	pot8o__ (pot8o__@pot8o__.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	necroninja471 (necroninja471@necroninja471.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	truktruk (truktruk@truktruk.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	phaerity (phaerity@phaerity.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bametime (bametime@bametime.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	yamthedanger (yamthedanger@yamthedanger.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	gizzly (gizzly@gizzly.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	boomawranglerhaha (boomawranglerhaha@boomawranglerhaha.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bordyee (bordyee@bordyee.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bibblepoo (bibblepoo@bibblepoo.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	superdupertacos (superdupertacos@superdupertacos.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	poliphobia (poliphobia@poliphobia.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	gr33dyorphan (gr33dyorphan@gr33dyorphan.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	luandashow (luandashow@luandashow.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	logan9010 (logan9010@logan9010.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jackieho001 (jackieho001@jackieho001.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	righteous_bacon (righteous_bacon@righteous_bacon.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	chaaaad (chaaaad@chaaaad.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	blue_rings (blue_rings@blue_rings.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kharon404 (kharon404@kharon404.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	angerbeaver10 (angerbeaver10@angerbeaver10.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	k_r_a_f_t (k_r_a_f_t@k_r_a_f_t.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mr_steal_youre_girl (mr_steal_youre_girl@mr_steal_youre_girl.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jesus_extrocent (jesus_extrocent@jesus_extrocent.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	lavaa (lavaa@lavaa.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	aimtecghosty (aimtecghosty@aimtecghosty.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	trumpsdisciple (trumpsdisciple@trumpsdisciple.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	rucker93 (rucker93@rucker93.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	kidwithhat (kidwithhat@kidwithhat.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	essencetf2 (essencetf2@essencetf2.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	aeta_nub (aeta_nub@aeta_nub.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	smileztc (smileztc@smileztc.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	sunnyunicorn (sunnyunicorn@sunnyunicorn.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	reidmarsh420 (reidmarsh420@reidmarsh420.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	big_black_enthusiast (big_black_enthusiast@big_black_enthusiast.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	aman207 (aman207@aman207.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	demostv (demostv@demostv.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mickaleaf (mickaleaf@mickaleaf.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	barrenreality (barrenreality@barrenreality.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	tomatotom (tomatotom@tomatotom.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	dongaconga (dongaconga@dongaconga.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	snipercpa (snipercpa@snipercpa.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	gumball273 (gumball273@gumball273.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	docterbeans (docterbeans@docterbeans.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	heuji (heuji@heuji.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	bruh_ice (bruh_ice@bruh_ice.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	mesatech (mesatech@mesatech.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	heloyelofelo (heloyelofelo@heloyelofelo.tmi.twitch.tv) has joined
Apr 18 22:07:58 *	jtv gives channel operator status to corunson
Apr 18 22:07:58 *	jtv gives channel operator status to truktruk
Apr 18 22:07:58 *	jtv gives channel operator status to shade
Apr 18 22:07:58 *	jtv gives channel operator status to steinerw
**** ENDING LOGGING AT Wed Apr 18 22:08:05 2018

**** BEGIN LOGGING AT Wed Apr 18 22:08:05 2018

Apr 18 22:08:08 <zeekaptain>	!roulette all
Apr 18 22:08:08 *	streamelements PogChamp zeekaptain went all in and won 787 points PogChamp he now has 1574 points FeelsGoodMan
Apr 18 22:08:11 <zeekaptain>	ty bb
Apr 18 22:08:11 <5econd5ight>	!roulette 1250
Apr 18 22:08:18 <mickaleaf>	!roulette 1
Apr 18 22:08:18 <bhsr>	ROULETTE ALL AGAIN
Apr 18 22:08:18 *	streamelements Mickaleaf lost 1 points in roulette and now has 749 points! FeelsBadMan
Apr 18 22:08:20 <dispellado>	@Shade How do we get quick fix and vaccinator un banned?
Apr 18 22:08:22 <bhsr>	OR NO BALLS
Apr 18 22:08:32 <r4ve_>	chilll
Apr 18 22:08:33 <3kho>	wheres that roulette 12000 rave
Apr 18 22:08:36 <phace_>	!roulette all
Apr 18 22:08:36 *	streamelements phace_ went all in and lost every single one of his 14 points LUL
Apr 18 22:08:36 <zeekaptain>	I already lost 10,000 on ALLs
**** ENDING LOGGING AT Wed Apr 18 22:08:39 2018

**** BEGIN LOGGING AT Wed Apr 18 22:08:39 2018

Apr 18 22:08:39 <zeekaptain>	frick that
Apr 18 22:08:44 <r4ve_>	I roulette 6k and lost
Apr 18 22:08:46 <alightshiningindarkn3ss>	@bhsr roulette all rn
Apr 18 22:08:51 <logstfbot>	http://logs.tf/2007512
Apr 18 22:08:54 <bhsr>	!roulette all
Apr 18 22:08:54 <0x0ace>	@zeekaptain Oof
Apr 18 22:08:54 <streamelements>	@bhsr, you dont have any points to roulette FeelsBadMan
Apr 18 22:09:14 <r4ve_>	!give bhsr 50
**** ENDING LOGGING AT Wed Apr 18 22:09:14 2018

**** BEGIN LOGGING AT Wed Apr 18 22:09:14 2018

Apr 18 22:09:32 *	supahkiwi_ (supahkiwi_@supahkiwi_.tmi.twitch.tv) has joined
